;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Цех мороженого (Чернышова...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;2 420,400;1 221 596,93;670,000;749,2;2,000;1 000,00;3 088,400;1 221 346,13
Цех мороженого (Чернышова Л.Ю.);;;;;;;;;2 420,400;1 221 596,93;670,000;749,2;2,000;1 000,00;3 088,400;1 221 346,13
44;33824      ;;;Папка  40 вкладышей;;;шт;119,95;5,000;599,75;;;;;5,000;599,75
45;02742      ;;;Папка  скоросшиватель;;;шт;17,9;5,000;89,50;;;;;5,000;89,50
46;04690      ;;;Пемолюкс;;;шт;63,49;4,000;253,96;;;;;4,000;253,96
47;34801      ;;;Переключатель KVM D-LINK (клавиатура ,мышь);;;шт;2 625;3,000;7 875,00;;;;;3,000;7 875,00
48;01640      ;;;Перчатки  резиновые;;;пар;40,44;80,000;3 235,20;;;;;80,000;3 235,20
49;33728      ;;;Перчатки нитриловые;;;пар;6,26;70,000;438,20;;;;;70,000;438,20
50;26680      ;;;Перчатки ПВХ;;;пар;14,64;80,000;1 171,20;;;;;80,000;1 171,20
51;43210      ;;;Пленка фотолюминесцентная "Пожарный кран";;;шт;50;19,000;950,00;;;;;19,000;950,00
52;32739      ;;;Поддон сплошной на 3-х полозьях;;;шт;1 911,72;15,000;28 675,80;;;;;15,000;28 675,80
53;02316      ;;;Поднос столовый;;;шт;278,43;179,000;49 838,97;;;;;179,000;49 838,97
54;31148      ;;;Подставка под огнетушитель;;;шт;567,56;56,000;31 783,36;;;;;56,000;31 783,36
55;15192      ;;;Полка для стоек;;;шт;1 441,62;4,000;5 766,48;;;;;4,000;5 766,48
56;02935      ;;;Полотенце бумажное ;;;упак;57,7;100,000;5 770,00;;;;;100,000;5 770,00
57;30451      ;;;Порошок стиральный 400г;;;кг;141,83;22,400;3 176,99;;;;;22,400;3 176,99
58;30699      ;;;Привязь страховочная;;;шт;3 135,89;2,000;6 271,78;;;;;2,000;6 271,78
59;29602      ;;;Противогаз ;;;шт;2 980,23;89,000;265 240,47;;;;;89,000;265 240,47
60;01621      ;;;Респиратор;;;шт;16,78;50,000;839,00;;;;;50,000;839,00
61;33643      ;;;Роутер беспроводной ZYXEL NBG 418N v2;;;шт;1 104,17;1,000;1 104,17;;;;;1,000;1 104,17
62;43179      ;;;Рукав  пожарный Ф50 РПК(В)-Н/В-50-1,0-М-УХЛ1;;;шт;1 835;16,000;29 360,00;;;;;16,000;29 360,00
63;32960      ;;;Рукавицы  х/б с брезентовым наладонником;;;пар;35,36;6,000;212,16;;;;;6,000;212,16
64;19122      ;;;Ручка шариковая;;;шт;15,09;10,000;150,90;;;;;10,000;150,90
65;01646      ;;;Сапоги  ПВХ резиновые женские;;;пар;615,1;5,000;3 075,50;;;;;5,000;3 075,50
66;11106      ;;;СВЧ-печь;;;шт;2 929,84;1,000;2 929,84;;;;;1,000;2 929,84
67;07501      ;;;Секундомер;;;шт;930;1,000;930,00;;;;;1,000;930,00
68;32878      ;;;Сито нерж.с калибровкой;;;шт;1 752,93;3,000;5 258,79;;;;;3,000;5 258,79
69;07672      ;;;Скалка;;;шт;269,95;5,000;1 349,75;;;;;5,000;1 349,75
70;28132      ;;;Сканер штрихкода;;;шт;9 996,15;15,000;149 942,25;;;;;15,000;149 942,25
71;02341      ;;;Скатерть;;;шт;1 688,33;1,000;1 688,33;;;;;1,000;1 688,33
72;03354      ;;;Спички;;;пачка;22,28;1,000;22,28;;;;;1,000;22,28
73;18395      ;;;Средство дезинф"Доместос";;;шт;166,15;2,000;332,30;;;;;2,000;332,30
74;27415      ;;;Средство для мытья стекол;;;шт;61,07;9,000;549,63;;;;;9,000;549,63
75;02774      ;;;Стержень  для  ручки  шариковый;;;шт;3,95;20,000;79,00;;;;;20,000;79,00
76;43011      ;;;Стерилизатор для банок 1159/фЭ9-2;;;шт;40,83;1,000;40,83;;;;;1,000;40,83
77;01740      ;;;Стойка;;;шт;2 383,71;4,000;9 534,84;;;;;4,000;9 534,84
78;03364      ;;;Стропы;;;шт;4 251,99;1,000;4 251,99;;;;;1,000;4 251,99
79;18064      ;;;Сумка-холодильник;;;шт;1 576,89;6,000;9 461,34;;;;;6,000;9 461,34
80;29675      ;;;Сушилка для рук Airblade АВ03;;;шт;35 000;1,000;35 000,00;;;;;1,000;35 000,00
