;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Отдел бухгалтерского и на...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
55;13699;;;Радиатор-обогрев, масляный ;;;шт;3594,5;1;3594,5;;;;;1;3594,5
56;6134;;;Резинка банковская;;;упак;296,3;1;296,3;;;;;1;296,3
57;24121;;;Резинка для денег;;;пачка;91,94;1;91,94;;;;;1;91,94
58;33954;;;Роутер Wi-Fi ;;;шт;4550;1;4550;;;;;1;4550
59;35179;;;Рутокен СБИС;;;шт;1333,33;4;5333,32;;;;;4;5333,32
60;21190;;;Ручка гелевая;;;шт;19,73;1;19,73;;;;;1;19,73
61;19122;;;Ручка шариковая;;;шт;15,09;19;286,71;;;;;19;286,71
62;43237;;;Ручка шариковая настольная;;;шт;104,14;2;208,28;;;;;2;208,28
63;23445;;;Сейф ASM-46;;;шт;6691,53;1;6691,53;;;;;1;6691,53
64;2765;;;Скобы  к  степлеру  N10  ;;;пачка;18,66;15;279,9;;;;;15;279,9
65;2767;;;Скобы  к  степлеру  N24  ;;;пачка;24,18;15;362,7;;;;;15;362,7
66;33489;;;Скоросшиватель картонный;;;шт;16,43;50;821,5;;;;;50;821,5
67;32009;;;Скоросшиватель пластиковый;;;шт;14,27;3;42,81;;;;;3;42,81
68;14195;;;Скотч;;;шт;43,88;2;87,76;;;;;2;87,76
69;2768;;;Скрепки  канцелярские  28мм;;;пачка;24,73;10;247,3;;;;;10;247,3
70;2769;;;Скрепки  канцелярские  50мм;;;пачка;39,64;7;277,48;;;;;7;277,48
71;42577;;;Скрепки  канцелярские  75мм;;;пачка;100,73;2;201,46;;;;;2;201,46
72;42826;;;Смарт-терминал Эвотор 5i ФН1.1;;;шт;21809,52;1;21809,52;;;;;1;21809,52
73;30958;;;Станок д/архив.переплета;;;шт;9405,93;1;9405,93;;;;;1;9405,93
74;2347;;;Станок сверл;;;шт;5598,73;1;5598,73;;;;;1;5598,73
75;2353;;;Стеллаж;;;шт;8579,08;1;8579,08;;;;;1;8579,08
76;2773;;;Степлер  N  24;;;шт;186,89;1;186,89;;;;;1;186,89
77;42165;;;Стержень PARKER;;;шт;515;7;3605;;;;;7;3605
78;2362;;;Стол;;;шт;;1;;;;;;1;
79;2372;;;Стол для компьютера;;;шт;;8;;;;;;8;
80;21807;;;Телефон  Panasonic;;;шт;1427,84;2;2855,68;;;;;2;2855,68
81;2783;;;Тетрадь  общая  48 листов  клетка ;;;шт;24,13;1;24,13;;;;;1;24,13
82;2788;;;Точилка;;;шт;37,66;3;112,98;;;;;3;112,98
83;26098;;;Точка доступа беспроводная;;;шт;10651,33;1;10651,33;;;;;1;10651,33
84;2619;;;Тумба;;;шт;1500;6;9000;;;;;6;9000
85;22200;;;Файл А4;;;шт;1,49;200;298;;;;;200;298
86;14761;;;Флеш карта ;;;шт;555,22;1;555,22;;;;;1;555,22
87;2691;;;Холодильник "Бирюса";;;шт;9372,03;1;9372,03;;;;;1;9372,03
88;35026;;;Чайник электрический Hi ek-18s01;;;шт;490;2;980;;;;;2;980
89;2727;;;Шкаф;;;шт;9090,76;2;18181,52;;;;;2;18181,52
90;2743;;;Шкаф для одежды;;;шт;;1;;;;;;1;
91;11037;;;Шпагат;;;шт;218,1;16;3489,6;;;;;16;3489,6
92;30697;;;Штамп на автоматической оснастке ;;;шт;616,78;1;616,78;;;;;1;616,78
93;27818;;;Штемпельная подушка;;;шт;136;1;136;;;;;1;136
94;2805;;;Электрочайник;;;шт;1332,9;1;1332,9;;;;;1;1332,9
1;11720;;;Бланк  "Авансовый отчет";;;шт;1,54;1000;1540;;;;;1000;1540
1;25877;;;Блок ББП-20 (сист.виденабл. к.);;;шт;1110;1;1110;;;;;1;1110
2;2056;;;Вентилятор;;;шт;;2;;;;;;2;
3;25875;;;Видеокамера RVI-E125B(3.6) ИК-15м, 540ТВЛ(сист. видеонабл.к);;;шт;1400;4;5600;;;;;4;5600
4;25878;;;Видеокамера RVI-E165B(3.6) ИК-20м, 540ТВЛ(сист. видеонабл.к);;;шт;2000;1;2000;;;;;1;2000
5;25876;;;Видеорегистратор RVI-R04LA (сист. видеонабл.к);;;шт;3500;1;3500;;;;;1;3500
6;2203;;;Громкоговоритель;;;шт;;1;;;;;;1;
7;3216;;;Датер;;;шт;349,18;2;698,36;;;;;2;698,36
8;3166;;;Детектор  ультрафиолетовый;;;шт;2669,49;1;2669,49;;;;;1;2669,49
9;16075;;;Жалюзи;;;шт;2066,55;2;4133,1;;;;;2;4133,1
10;4612;;;Жалюзи;;;м2;611,85;4,1;2508,59;;;;;4,1;2508,59
11;25873;;;Жесткий диск Hitachi  НЖМД 1Тб (сист. видеонабл. к);;;шт;3600;1;3600;;;;;1;3600
12;2866;;;Замок навесной;;;шт;284,59;4;1138,36;;;;;4;1138,36
13;25874;;;Кабель UTP (сист. видеонабл. к);;;м;15;305;4575;;;;;305;4575
14;2257;;;Кресло офисное;;;шт;13179,17;2;26358,34;;;;;2;26358,34
15;4492;;;Лампа;;;шт;89,88;3;269,64;;;;;3;269,64
16;2282;;;Монитор;;;шт;4297,7;1;4297,7;;;;;1;4297,7
17;31387;;;Накопитель фискальный;;;шт;10485,71;1;10485,71;;;;;1;10485,71
